Timestamp_s,RED,IR
12.8393,58812,59040
12.8663,58846,59076
12.8736,58838,59085
12.9064,58858,59142
12.9153,58885,59170
12.9567,58907,59212
12.9724,58924,59229
12.9956,58932,59288
13.0148,58954,59319
13.0427,58981,59342
13.0539,58946,59296
13.0836,58847,59112
13.0886,58675,58886
13.1255,58489,58512
13.1508,58439,58443
13.1785,58480,58431
13.1927,58477,58488
13.2133,58502,58501
13.2411,58545,58565
13.256,58562,58574
13.2761,58596,58628
13.298,58602,58653
13.332,58622,58659
13.3493,58599,58659
13.3597,58562,58610
13.3899,58573,58599
13.408,58594,58602
13.4371,58624,58647
13.4648,58624,58672
13.4776,58662,58721
13.4995,58708,58768
13.5271,58694,58812
13.5501,58717,58840
13.5611,58760,58889
13.5875,58791,58963
13.6114,58796,58993
13.631,58856,59043
13.6559,58849,59014
13.6652,58855,59072
13.707,58862,59081
13.7228,58890,59093
13.7421,58885,59133
13.7621,58890,59180
13.7837,58933,59220
13.8113,58945,59292
13.8387,58984,59328
13.853,58990,59350
13.8761,58995,59427
13.8972,59052,59383
13.9261,59041,59442
13.9389,58990,59395
13.9642,58837,59147
13.9872,58673,58870
14.0042,58574,58660
14.027,58513,58478
14.0547,58463,58514
14.0769,58527,58558
14.0885,58571,58574
14.1152,58590,58641
14.1391,58615,58655
14.1587,58627,58677
14.1787,58639,58698
14.2024,58624,58729
14.2209,58618,58679
14.2502,58613,58668
14.271,58599,58642
14.2905,58611,58656
14.3156,58625,58685
14.3397,58665,58722
14.359,58673,58755
14.3739,58687,58819
14.4021,58724,58855
14.4218,58768,58907
14.4434,58778,58952
14.4636,58792,58970
14.4919,58860,59023
14.5129,58863,59084
14.5336,58864,59087
14.5552,58884,59137
14.5818,58894,59169
14.5888,58907,59192
14.6229,58908,59211
14.6404,58953,59261
14.6675,58967,59280
14.6945,58999,59300
14.7069,59044,59365
14.7313,58985,59406
14.7577,59046,59446
14.7766,59080,59461
14.7987,59095,59514
14.8107,59094,59545
14.8431,59008,59447
14.8668,58896,59195
14.8867,58709,58984
14.9017,58626,58768
14.9341,58522,58641
14.959,58544,58577
14.978,58589,58658
14.9924,58617,58677
15.0268,58632,58744
15.0408,58675,58773
15.0613,58687,58813
15.0827,58701,58850
15.1139,58660,58845
15.125,58662,58821
15.1518,58701,58788
15.1646,58643,58762
15.2035,58643,58750
15.2065,58652,58776
15.2382,58668,58816
15.2575,58724,58855
15.2916,58794,58908
15.2966,58790,58934
15.3265,58778,59011
15.3462,58822,59021
15.3742,58840,59065
15.3877,58884,59169
15.4154,58820,59169
15.4354,58895,59169
15.4614,58906,59193
15.485,58927,59216
15.5039,58942,59294
15.5197,58949,59289
15.554,58967,59336
15.569,58976,59296
15.589,58987,59353
15.6089,59022,59430
15.6476,59027,59443
15.6506,59056,59528
15.6783,59054,59490
